"Busiest_location","vehiclevolume","pedestrianvolume"
" SANDHURST CRCL  235m NORTH OF  FINCH AVE E ",2481,1772
" BAMBURGH CRCL  WINTERMUTE BLVD ",3793,667
" GUNNS RD  150m NORTH OF  ST CLAIR AVE W  PRIVATE ACCESS ",4240,176
" PHARMACY AVE  20m SOUTH OF  ALBION AVE ",4328,659
" KING ST E  RIVER ST ",4535,828
" BONIS AVE  KING HENRYS BLVD  CARABOB CRT ",4677,1734
" MCLEVIN AVE  HUPFIELD TRL  PRIVATE ACCESS ",4778,362
" OLD KINGSTON RD  MORRISH RD ",4889,128
" MORNINGSIDE AVE  DANZIG ST ",5011,312
" KINGSTON RD  ELLESMERE RD  PRIVATE ACCESS ",5087,32
